"id";"app_name";"genres";"genre";"app_type";"price";"content_rating";"all_rating";"downloads"
"com.android.chrome";"Google Chrome: Fast & Secure";"Communication";"Communication";"APPLICATION";"Free";"Everyone";4,3;"1,000,000,000 - 5,000,000,000"
"com.google.android.gm";"Gmail";"Communication";"Communication";"APPLICATION";"Free";"Everyone";4,3;"1,000,000,000 - 5,000,000,000"
"com.facebook.katana";"Facebook";"Social";"Social";"APPLICATION";"Free";"Teen";4,1;"1,000,000,000 - 5,000,000,000"
"com.adobe.reader";"Adobe Acrobat Reader";"Productivity";"Productivity";"APPLICATION";"Free";"Everyone";4,3;"100,000,000 - 500,000,000"
"com.whatsapp";"WhatsApp Messenger";"Communication";"Communication";"APPLICATION";"Free";"Everyone";4,4;"1,000,000,000 - 5,000,000,000"
"com.Slack";"Slack";"Business";"Business";"APPLICATION";"Free";"Everyone";4,4;"5,000,000 - 10,000,000"
"com.google.android.calendar";"Google Calendar";"Productivity";"Productivity";"APPLICATION";"Free";"Everyone";4,2;"100,000,000 - 500,000,000"
"com.twitter.android";"Twitter";"News & Magazines";"News & Magazines";"APPLICATION";"Free";"Mature 17+";4,3;"500,000,000 - 1,000,000,000"
"com.google.android.googlequicksearchbox";"Google";"Tools";"Tools";"APPLICATION";"Free";"Everyone";4,4;"1,000,000,000 - 5,000,000,000"
"com.oneplus.gallery";"OnePlus Gallery";"Video Players & Editors";"Video Players & Editors";"APPLICATION";"Free";"Everyone";3,8;"50,000 - 100,000"
"com.bnpp.easybanking";"Easy Banking";"Finance";"Finance";"APPLICATION";"Free";"Everyone";3,4;"1,000,000 - 5,000,000"
"com.thanksys.joyn.user";"Joyn – Live the city";"Shopping";"Shopping";"APPLICATION";"Free";"Everyone";3,4;"100,000 - 500,000"
"com.google.android.apps.maps";"Maps - Navigation & Transit";"Travel & Local";"Travel & Local";"APPLICATION";"Free";"Everyone";4,3;"1,000,000,000 - 5,000,000,000"
"com.google.android.gms";"Google Play services";"Tools";"Tools";"APPLICATION";"Free";"Everyone";3,9;"5,000,000,000 - 10,000,000,000"
"com.vikingco.vikingapp";"Viking App (Official)";"Communication";"Communication";"APPLICATION";"Free";"Everyone";4,2;"100,000 - 500,000"
"at.bluesource.mobilepocket";"mobile-pocket loyalty cards";"Shopping";"Shopping";"APPLICATION";"Free";"Everyone";4,3;"1,000,000 - 5,000,000"
"com.duolingo";"Duolingo: Learn Languages Free";"Education";"Education";"APPLICATION";"Free";"Everyone";4,7;"100,000,000 - 500,000,000"
"com.duolingo";"Duolingo: Learn Languages Free";"Education";"Education";"APPLICATION";"Free";"Everyone";4,7;"100,000,000 - 500,000,000"
"com.sen.osmo";"OpenScape Mobile";"Communication";"Communication";"APPLICATION";"Free";"Everyone";4,4;"10,000 - 50,000"
